Dizionario per immagini                                                                                                
lezione                                                                                                                              
Grupo 3
a tarde                                                                     - il pomeriggio                                                     
meio-dia                                                                    - mezzogiorno                                                       
pela manhã                                                                  - il mattino                                                        
a noite                                                                    - la sera                                                           
o amanhecer                                                                 - l'alba                                                            
a noite                                                                     - la notte                                                          
meia-noite                                                                  - la mezzanotte                                                     
o pôr do sol                                                                - il tramonto                                                       
Grupo 4
março                                                                       - marzo                                                             
abril                                                                       - aprile                                                            
maio                                                                        - maggio                                                            
setembro                                                                    - settembre                                                         
outubro                                                                     - ottobre                                                           
novembro                                                                    - novembre                                                          
junho                                                                       - giugno                                                            
julho                                                                       - luglio                                                            
agosto                                                                      - agosto                                                            
dezembro                                                                    - dicembre                                                          
janeiro                                                                     - gennaio                                                           
fevereiro                                                                   - febbraio                                                          
primavera                                                                   - la primavera                                                      
outono                                                                      - l'autunno                                                         
verao                                                                       - l'estate                                                          
inverno                                                                     - l'inverno                                                         
segunda-feira                                                               - lunedì                                                            
terça-feira                                                                 - martedi                                                           
quarta-feira                                                                - mercoledi                                                         
quinta-feira                                                                - giovedi                                                           
sexta-feira                                                                 - venerdì                                                           
sábado                                                                      - sabato                                                            
domingo                                                                     - domenica                                                          
Grupo 5
primeiro século a.c.                                                        - primo secolo avanti cristo                                        
século x d.c.                                                               - decimo secolo dopo cristo                                         
século xix                                                                  - diciannovesimo secolo                                             
século xx                                                                   - ventesimo secolo                                                  
Grupo 6
os festivais                                                                - le feste                                                          
natal                                                                       - il natale                                                         
véspera de ano novo                                                         - il capodanno                                                      
páscoa                                                                      - la pasqua                                                         
dia da libertação                                                           - la festa della liberazione                                        
dia da lei                                                                  - la festa del lavoro                                               
o ferragosto                                                                - il ferragosto                                                     
Grupo 7
no                                                                          - nel                                                               
acima/sobre(o)                                                              - sopra/su(lla)                                                     
sob                                                                         - sotto                                                             
de                                                                          - fra                                                               
em frente de                                                                - di fronte                                                         
dentro/no                                                                   - dentro/nell'                                                      
atrás                                                                       - dietro                                                            
a/na casa                                                                   - a/in casa                                                         
ao lado                                                                     - di fianco                                                         
através                                                                     - attraverso                                                        
fora                                                                        - fuori                                                             
terceiro andar                                                              - terzo piano                                                       
Grupo 8
o quadrado                                                                  - il quadrato                                                       
o círculo                                                                   - il cerchio                                                        
o triângulo                                                                 - il triangolo                                                      
redondo                                                                     - rotondo                                                           
triangular                                                                  - triangolare                                                       
o retângulo                                                                 - il rettangolo                                                     
o oval                                                                      - l'ovale                                                           
o polígono                                                                  - il poligono                                                       
retangular                                                                  - rettangolare                                                      
oval                                                                        - ovale                                                             
poligonal                                                                   - poligonale                                                        
o hexágono                                                                  - l'esagono                                                         
hexagonal                                                                   - esagonale                                                         
o cilindro                                                                  - il cilindro                                                       
